기준년도,기준월,법정동코드,법정동명,표준산업대분류코드,표준산업대분류명,1인당 소비 금액
2023,07,30200126,가정동,C,제조업(10-34),48200
2023,07,30200126,가정동,G,도매 및 소매업(45-47),48300
2023,07,30200126,가정동,I,숙박 및 음식점업(55-56),20500
2023,07,30200126,가정동,P,교육 서비스업(85),57900
2023,07,30200126,가정동,Q,보건업 및 사회복지 서비스업(86-87),29900
2023,07,30200126,가정동,S,협회 및 단체  수리 및 기타 개인 서비스업(94-96),6800
2023,07,30200118,갑동,C,제조업(10-34),219800
2023,07,30200118,갑동,G,도매 및 소매업(45-47),147200
2023,07,30200118,갑동,I,숙박 및 음식점업(55-56),78800
2023,07,30200118,갑동,M,전문  과학 및 기술 서비스업(70-73),62300
2023,07,30200118,갑동,O,공공 행정 국방 및 사회보장 행정(84),66400
2023,07,30200118,갑동,P,교육 서비스업(85),429000
2023,07,30200118,갑동,R,예술  스포츠 및 여가관련 서비스업(90-91),711500
2023,07,30200118,갑동,S,협회 및 단체  수리 및 기타 개인 서비스업(94-96),60800
2023,07,30200106,계산동,C,제조업(10-34),26900
2023,07,30200106,계산동,G,도매 및 소매업(45-47),113000
2023,07,30200106,계산동,I,숙박 및 음식점업(55-56),90700
2023,07,30200106,계산동,M,전문  과학 및 기술 서비스업(70-73),56700
2023,07,30200106,계산동,O,공공 행정 국방 및 사회보장 행정(84),2000
2023,07,30200106,계산동,P,교육 서비스업(85),76700
2023,07,30200106,계산동,Q,보건업 및 사회복지 서비스업(86-87),142500
2023,07,30200106,계산동,R,예술  스포츠 및 여가관련 서비스업(90-91),21000
2023,07,30200106,계산동,S,협회 및 단체  수리 및 기타 개인 서비스업(94-96),153900
2023,07,30200146,관평동,C,제조업(10-34),167600
2023,07,30200146,관평동,F,건설업(41-42),10700
2023,07,30200146,관평동,G,도매 및 소매업(45-47),748200
2023,07,30200146,관평동,H,운수 및 창고업(49-52),8000
2023,07,30200146,관평동,I,숙박 및 음식점업(55-56),63500
2023,07,30200146,관평동,J,정보통신업(58-63),45300
2023,07,30200146,관평동,M,전문  과학 및 기술 서비스업(70-73),44500
2023,07,30200146,관평동,O,공공 행정 국방 및 사회보장 행정(84),103100
2023,07,30200146,관평동,P,교육 서비스업(85),376300
2023,07,30200146,관평동,Q,보건업 및 사회복지 서비스업(86-87),134400
2023,07,30200146,관평동,R,예술  스포츠 및 여가관련 서비스업(90-91),67000
2023,07,30200146,관평동,S,협회 및 단체  수리 및 기타 개인 서비스업(94-96),107800
2023,07,30200102,교촌동,C,제조업(10-34),3000000
2023,07,30200102,교촌동,F,건설업(41-42),2777300
2023,07,30200102,교촌동,G,도매 및 소매업(45-47),503100
2023,07,30200102,교촌동,I,숙박 및 음식점업(55-56),51300
2023,07,30200102,교촌동,M,전문  과학 및 기술 서비스업(70-73),33200
2023,07,30200102,교촌동,N,사업시설 관리  사업 지원 및 임대 서비스업(74-76),284500
2023,07,30200102,교촌동,O,공공 행정 국방 및 사회보장 행정(84),247100
2023,07,30200102,교촌동,P,교육 서비스업(85),425000
2023,07,30200102,교촌동,Q,보건업 및 사회복지 서비스업(86-87),112200
2023,07,30200102,교촌동,R,예술  스포츠 및 여가관련 서비스업(90-91),77300
2023,07,30200102,교촌동,S,협회 및 단체  수리 및 기타 개인 서비스업(94-96),92700
2023,07,30200153,구룡동,G,도매 및 소매업(45-47),55900
2023,07,30200153,구룡동,I,숙박 및 음식점업(55-56),71800
2023,07,30200153,구룡동,P,교육 서비스업(85),523300
2023,07,30200153,구룡동,S,협회 및 단체  수리 및 기타 개인 서비스업(94-96),46400
2023,07,30200124,구성동,C,제조업(10-34),229500
2023,07,30200124,구성동,G,도매 및 소매업(45-47),32700
2023,07,30200124,구성동,H,운수 및 창고업(49-52),2200
2023,07,30200124,구성동,I,숙박 및 음식점업(55-56),31200
2023,07,30200124,구성동,M,전문  과학 및 기술 서비스업(70-73),443500
2023,07,30200124,구성동,N,사업시설 관리  사업 지원 및 임대 서비스업(74-76),30600
2023,07,30200124,구성동,O,공공 행정 국방 및 사회보장 행정(84),145000
2023,07,30200124,구성동,P,교육 서비스업(85),321700
2023,07,30200124,구성동,Q,보건업 및 사회복지 서비스업(86-87),42600
2023,07,30200124,구성동,R,예술  스포츠 및 여가관련 서비스업(90-91),22600
2023,07,30200124,구성동,S,협회 및 단체  수리 및 기타 개인 서비스업(94-96),49500
2023,07,30200112,구암동,C,제조업(10-34),295000
2023,07,30200112,구암동,F,건설업(41-42),238700
2023,07,30200112,구암동,G,도매 및 소매업(45-47),64200
2023,07,30200112,구암동,H,운수 및 창고업(49-52),21400
2023,07,30200112,구암동,I,숙박 및 음식점업(55-56),68200
2023,07,30200112,구암동,K,금융 및 보험업(64~66),120000
2023,07,30200112,구암동,M,전문  과학 및 기술 서비스업(70-73),173600
2023,07,30200112,구암동,N,사업시설 관리  사업 지원 및 임대 서비스업(74-76),196600
2023,07,30200112,구암동,O,공공 행정 국방 및 사회보장 행정(84),35100
2023,07,30200112,구암동,P,교육 서비스업(85),117800
2023,07,30200112,구암동,Q,보건업 및 사회복지 서비스업(86-87),159900
2023,07,30200112,구암동,R,예술  스포츠 및 여가관련 서비스업(90-91),44700
2023,07,30200112,구암동,S,협회 및 단체  수리 및 기타 개인 서비스업(94-96),114400
2023,07,30200122,궁동,C,제조업(10-34),19400
2023,07,30200122,궁동,F,건설업(41-42),472500
2023,07,30200122,궁동,G,도매 및 소매업(45-47),45400
2023,07,30200122,궁동,H,운수 및 창고업(49-52),13400
2023,07,30200122,궁동,I,숙박 및 음식점업(55-56),68700
2023,07,30200122,궁동,K,금융 및 보험업(64~66),233300
2023,07,30200122,궁동,L,부동산업(68),4000
2023,07,30200122,궁동,M,전문  과학 및 기술 서비스업(70-73),104300
2023,07,30200122,궁동,N,사업시설 관리  사업 지원 및 임대 서비스업(74-76),23400
2023,07,30200122,궁동,O,공공 행정 국방 및 사회보장 행정(84),45100
