시도명,시군구명,읍면동명,도로명주소,위도,경도,주택유형,구조유형,건축연도,빈집등급,데이터 기준일
충청북도,충주시,성내동,"충청북도 충주시 성내길 8-2, (성내동)",36.97257202,127.9351763,단독,일반목구조,1945,3등급,2025-06-30
충청북도,충주시,성내동,"충청북도 충주시 성내길 14-5, (성내동)",36.97215777,127.9357269,단독,일반목구조,1945,1등급,2025-06-30
충청북도,충주시,성내동,"충청북도 충주시 중앙로 121-1, (성내동)",36.97150952,127.9368506,그 외,벽돌구조,1970,1등급,2025-06-30
충청북도,충주시,성내동,"충청북도 충주시 형설로 175-2, (성내동)",36.96971665,127.9377393,단독,일반목구조,1945,2등급,2025-06-30
충청북도,충주시,성남동,"충청북도 충주시 성남5길 26-8, (성남동)",36.96793234,127.937752,단독,일반목구조,1935,2등급,2025-06-30
충청북도,충주시,성남동,"충청북도 충주시 성남5길 24-2, (성남동)",36.96800437,127.9376284,단독,벽돌구조,1967,1등급,2025-06-30
충청북도,충주시,성남동,"충청북도 충주시 성남4길 8-5, (성남동)",36.96790524,127.9376284,단독,경량철골구조,1990,1등급,2025-06-30
충청북도,충주시,성남동,"충청북도 충주시 용정2길 29-1, (성남동)",36.96741825,127.9369325,단독,일반목구조,1938,3등급,2025-06-30
충청북도,충주시,성남동,"충청북도 충주시 용정2길 25-10, (성남동)",36.96768833,127.9364157,단독,일반목구조,1940,2등급,2025-06-30
충청북도,충주시,성남동,"충청북도 충주시 성남5길 6-11, (성남동)",36.96780517,127.9358316,단독,일반목구조,1930,1등급,2025-06-30
충청북도,충주시,성남동,"충청북도 충주시 성남2길 7-10, (성남동)",36.96790368,127.9346635,단독,벽돌구조,1976,2등급,2025-06-30
충청북도,충주시,성남동,"충청북도 충주시 성남2길 7-12, (성남동)",36.96788556,127.9344838,단독,벽돌구조,1976,3등급,2025-06-30
충청북도,충주시,성남동,"충청북도 충주시 성남2길 7-11, (성남동)",36.96777742,127.9344839,단독,벽돌구조,1976,1등급,2025-06-30
충청북도,충주시,충인동,"충청북도 충주시 충인8길 25-1, (충인동)",36.9749579,127.9311533,단독,일반목구조,1945,3등급,2025-06-30
충청북도,충주시,교현동,"충청북도 충주시 만리산9길 62, (교현동)",36.97406309,127.9434753,그 외,벽돌구조,1981,1등급,2025-06-30
충청북도,충주시,교현동,"충청북도 충주시 갱고개로 38-9, (교현동)",36.97406178,127.9407123,단독,벽돌구조,1945,1등급,2025-06-30
충청북도,충주시,교현동,"충청북도 충주시 만리산2길 17-4, (교현동)",36.97178174,127.9405567,단독,벽돌구조,1973,2등급,2025-06-30
충청북도,충주시,교현동,"충청북도 충주시 갱고개로 23-1, (교현동)",36.97316894,127.9393427,단독,벽돌구조,1970,1등급,2025-06-30
충청북도,충주시,교현동,"충청북도 충주시 만리산6길 14-1, (교현동)",36.97145723,127.9403661,단독,벽돌구조,1974,2등급,2025-06-30
충청북도,충주시,교현동,"충청북도 충주시 만리산5길 2-1, (교현동)",36.97120476,127.9400855,단독,벽돌구조,1974,1등급,2025-06-30
충청북도,충주시,교현동,"충청북도 충주시 만리산1길 8, (교현동)",36.9715019,127.9395798,단독,벽돌구조,1970,2등급,2025-06-30
충청북도,충주시,교현동,"충청북도 충주시 교동6길 5, (교현동)",36.97201484,127.9381418,단독,벽돌구조,1973,1등급,2025-06-30
충청북도,충주시,교현동,"충청북도 충주시 교동6길 5-1, (교현동)",36.97207784,127.9379845,단독,벽돌구조,1974,2등급,2025-06-30
충청북도,충주시,교현동,"충청북도 충주시 동촌6길 13-1, (교현동)",36.96871738,127.9397841,단독,벽돌구조,1979,2등급,2025-06-30
충청북도,충주시,교현동,"충청북도 충주시 천변로 275-12, (교현동)",36.97252813,127.9374001,단독,벽돌구조,1976,1등급,2025-06-30
충청북도,충주시,교현동,"충청북도 충주시 천변로 237-11, (교현동)",36.97422982,127.9345234,단독,벽돌구조,1981,2등급,2025-06-30
충청북도,충주시,교현동,"충청북도 충주시 봉현로 279-10, (교현동)",36.97780773,127.9350147,단독,벽돌구조,1980,2등급,2025-06-30
충청북도,충주시,교현동,"충청북도 충주시 주봉3길 7-1, (교현동)",36.97878097,127.9349689,단독,벽돌구조,1945,2등급,2025-06-30
