시도,시군구,사고건수,사망자수,중상자수,경상자수,부상신고자수
서울,종로구,917,5,230,938,85
서울,중구,976,16,241,876,119
서울,용산구,868,12,224,917,33
서울,성동구,919,7,210,889,56
서울,동대문구,1520,5,403,1369,134
서울,성북구,1286,7,294,1226,108
서울,도봉구,522,5,138,474,59
서울,은평구,1218,2,350,1108,116
서울,서대문구,818,6,175,811,119
서울,마포구,1201,11,252,1282,107
서울,강서구,1538,12,351,1471,179
서울,구로구,1320,7,300,1274,162
서울,영등포구,1948,8,418,1932,293
서울,동작구,1230,2,283,1174,158
서울,관악구,1254,13,249,1258,74
서울,강남구,3754,11,716,3773,374
서울,강동구,1428,9,351,1480,90
서울,송파구,2500,20,573,2527,324
서울,서초구,2027,17,412,2433,114
서울,양천구,1274,7,259,1279,151
서울,중랑구,1199,8,304,1154,165
서울,노원구,1288,5,294,1269,154
서울,광진구,785,4,183,784,51
서울,강북구,877,5,202,846,75
서울,금천구,798,8,163,843,65
부산,중구,356,2,92,381,24
부산,서구,424,1,141,420,28
부산,동구,495,5,123,565,13
부산,영도구,273,5,88,255,13
부산,부산진구,1430,12,426,1384,129
부산,동래구,784,4,195,776,40
부산,남구,786,5,204,718,101
부산,북구,680,9,194,584,96
부산,해운대구,767,7,292,684,61
부산,사하구,946,6,316,846,60
부산,금정구,779,6,246,716,92
부산,강서구,717,18,234,721,54
부산,연제구,701,2,212,620,96
부산,수영구,838,4,237,814,115
부산,사상구,631,6,204,556,33
부산,기장군,648,10,214,719,40
경기,수원시,4720,24,1069,5099,476
경기,성남시,3487,23,793,3829,451
경기,의정부시,1442,10,272,1389,276
경기,안양시,1269,11,351,1310,58
경기,부천시,3115,12,615,3306,302
경기,안산시,3513,21,756,3895,475
경기,평택시,3084,31,709,3378,573
경기,광명시,1094,8,251,1107,131
경기,구리시,787,4,186,931,49
경기,양주시,1270,7,307,1369,149
경기,여주시,548,12,125,704,34
경기,화성시,3711,38,828,4146,613
경기,시흥시,2259,21,512,2600,382
경기,파주시,1652,14,457,1546,225
경기,고양시,3489,31,891,3711,385
경기,광주시,2106,25,380,2454,225
경기,연천군,180,4,66,217,18
경기,포천시,617,11,206,748,10
경기,가평군,311,5,110,372,36
경기,양평군,610,14,180,768,91
경기,이천시,1060,18,281,1235,121
경기,용인시,3466,31,773,4114,520
경기,안성시,1061,27,257,1343,198
경기,김포시,1742,14,404,2021,186
경기,동두천시,361,1,92,370,29
경기,과천시,191,2,30,200,34
경기,군포시,485,4,159,460,53
경기,남양주시,1998,24,536,2264,239
경기,오산시,970,11,233,937,185
경기,의왕시,429,2,94,516,29
경기,하남시,1148,12,312,1121,159
강원,춘천시,1394,18,373,1231,540
강원,원주시,1345,15,379,1520,144
강원,동해시,266,4,89,261,15
강원,강릉시,666,13,203,771,11
강원,속초시,338,5,156,356,2
강원,태백시,230,3,48,284,16
강원,삼척시,201,6,80,232,0
강원,홍천군,199,7,79,218,18
강원,횡성군,163,7,80,180,16
강원,영월군,174,6,66,152,23
강원,평창군,194,5,67,290,24
강원,정선군,172,7,54,223,3
강원,철원군,94,7,32,109,9
강원,화천군,109,3,52,126,37
강원,양구군,58,1,13,54,28
강원,인제군,83,4,32,110,15
강원,고성군,96,5,27,126,5
강원,양양군,148,5,70,195,2
충북,청주시,4162,45,979,4952,225
충북,충주시,1105,15,289,1360,18
충북,제천시,807,11,205,942,114
충북,보은군,136,8,81,122,0
충북,옥천군,183,9,85,178,9
충북,영동군,149,6,80,99,1
충북,진천군,525,15,140,563,9
충북,괴산군,140,8,60,175,13
충북,음성군,492,15,183,499,52
충북,단양군,134,7,53,148,4
충북,증평군,156,5,43,162,5
충남,천안시,3368,41,747,3529,479
충남,아산시,1405,31,377,1524,38
충남,보령시,290,9,133,272,3
충남,공주시,378,22,151,457,23
충남,서산시,725,22,310,746,33
충남,금산군,179,10,67,172,3
충남,태안군,248,6,135,224,14
충남,논산시,354,7,194,331,54
충남,부여군,226,11,165,119,1
충남,서천군,210,11,105,228,9
충남,청양군,142,8,71,112,6
충남,홍성군,317,16,105,262,9
충남,예산군,322,17,140,316,21
충남,당진시,654,22,135,843,14
충남,계룡시,78,0,22,98,9
전북,전주시,2178,23,562,2560,49
전북,군산시,1103,25,233,1212,145
전북,정읍시,351,15,136,373,7
전북,남원시,197,7,102,132,5
전북,김제시,258,10,104,279,3
전북,완주군,316,21,100,357,10
전북,진안군,75,4,37,78,4
전북,무주군,76,4,37,76,0
전북,장수군,47,7,30,35,0
전북,임실군,103,5,47,122,6
전북,순창군,117,7,39,117,32
전북,고창군,120,14,43,123,0
전북,부안군,177,10,105,153,0
전북,익산시,723,22,209,809,16
전남,목포시,1196,9,196,1590,68
전남,여수시,1417,16,312,1590,71
전남,순천시,1082,24,277,1273,56
전남,나주시,634,16,146,850,23
전남,광양시,617,8,148,668,88
전남,담양군,270,14,82,383,10
전남,곡성군,90,4,47,99,3
전남,구례군,112,3,35,137,4
전남,고흥군,142,11,79,92,1
전남,보성군,157,5,67,178,1
전남,화순군,236,9,73,267,21
전남,장흥군,220,6,86,228,17
전남,강진군,277,7,93,304,39
전남,해남군,272,10,117,269,15
전남,영암군,397,13,119,468,43
전남,무안군,331,10,92,375,7
전남,함평군,129,4,47,154,25
전남,영광군,135,3,58,126,10
전남,장성군,193,13,73,215,19
전남,완도군,121,3,27,156,2
전남,진도군,99,6,49,95,0
전남,신안군,86,7,34,107,2
경북,포항시,2501,20,625,2817,238
경북,경주시,882,36,437,787,50
경북,김천시,455,12,229,395,8
경북,안동시,798,13,264,801,155
경북,구미시,1451,26,466,1365,117
경북,영주시,249,14,103,172,28
경북,영천시,453,16,164,447,16
경북,문경시,243,8,87,244,18
경북,상주시,375,25,170,324,14
경북,의성군,215,22,128,163,2
경북,청송군,149,5,50,110,40
경북,영양군,75,3,13,65,8
경북,영덕군,205,5,99,233,7
경북,청도군,184,7,93,149,4
경북,고령군,60,5,27,50,9
경북,성주군,202,9,65,237,20
경북,칠곡군,553,8,171,599,59
경북,예천군,182,8,105,137,7
경북,봉화군,109,3,82,67,9
경북,울진군,131,4,68,97,37
경북,울릉군,6,0,2,5,0
경북,경산시,925,15,284,936,23
경남,진주시,617,22,303,423,32
경남,통영시,689,10,209,761,51
경남,김해시,1777,27,673,1645,157
경남,밀양시,485,22,264,335,58
경남,거제시,820,7,333,749,56
경남,의령군,104,6,44,86,4
경남,함안군,315,9,144,256,34
경남,창녕군,284,13,192,204,11
경남,양산시,1205,23,390,1055,143
경남,고성군,178,4,87,158,6
경남,사천시,504,8,192,479,43
경남,남해군,156,8,110,87,32
경남,하동군,169,4,99,135,17
경남,산청군,135,9,81,124,18
경남,함양군,186,11,69,123,37
경남,거창군,162,6,94,95,7
경남,합천군,160,8,87,101,23
경남,창원시(통합),2757,36,883,2493,265
제주,제주시,2853,25,715,2929,416
제주,서귀포시,1110,23,333,1133,218
대구,중구,710,3,166,685,202
대구,동구,1475,11,391,1517,152
대구,서구,883,5,204,876,143
대구,남구,475,2,117,479,44
대구,북구,1726,20,458,1640,245
대구,수성구,1817,13,424,2036,163
대구,달서구,2179,11,510,2290,138
대구,달성군,846,13,200,879,77
대구,군위군,111,11,67,115,11
인천,중구,700,6,159,762,73
인천,동구,146,1,42,133,20
인천,미추홀구,1364,14,216,1475,81
인천,부평구,1246,9,247,1244,95
인천,남동구,1591,13,331,1690,131
인천,서구,1472,18,352,1500,77
인천,연수구,622,8,148,650,18
인천,계양구,705,9,131,828,6
인천,강화군,216,7,81,234,10
인천,옹진군,27,2,13,20,1
광주,동구,448,5,88,496,33
광주,서구,1712,7,272,2269,136
광주,북구,2124,8,304,2644,195
광주,광산구,1893,14,300,2448,73
광주,남구,731,7,141,829,55
대전,동구,1132,3,253,1320,38
대전,중구,1133,10,229,1312,19
대전,서구,2493,8,493,2962,104
대전,유성구,1866,9,374,2144,122
대전,대덕구,866,11,207,1052,59
울산,중구,677,6,199,644,92
울산,남구,1104,18,326,965,96
울산,동구,367,3,177,276,25
울산,북구,706,9,201,747,88
울산,울주군,722,16,241,693,134
세종,세종시,1231,7,233,1319,257
