시장명,시장유형,소재지도로명주소,소재지지번주소,시장개설주기,위도,경도,점포수,취급품목,사용가능상품권,홈페이지주소,공중화장실보유여부,주차장보유여부,개설연도,전화번호,데이터기준일자,제공기관코드,제공기관명
용궁시장,상설장+5일장,경상북도 예천군 용궁면 용궁시장길 9,경상북도 예천군 용궁면 읍부리 329-3,4일+9일,36.607018,128.275372,30,농산물+축산물+가공식품+가정용품+기타소매업,,,Y,Y,1999,,2022-07-06,B553077,소상공인시장진흥공단
풍양시장,5일장,경상북도 예천군 풍양면 낙상2길 37-13,경상북도 예천군 풍양면 낙상리 157-7,3일+8일,36.509273,128.299805,48,농산물+축산물+가공식품+기타소매업,,,Y,Y,1999,,2022-07-06,B553077,소상공인시장진흥공단
울진바지게시장,상설장+5일장,경상북도 울진군 울진읍 읍내2길 13-6,경상북도 울진군 울진읍 읍내리 63,2일+7일,36.991629,129.4020697,252,농산물+축산물+수산물,,,Y,Y,2008,054-783-2988,2022-07-06,B553077,소상공인시장진흥공단
죽변시장,상설장+5일장,경상북도 울진군 죽변면 죽변중앙로 168-14,경상북도 울진군 죽변면 죽변리 36-8,3일+8일,37.058968,129.422254,64,농산물+축산물+수산물,,,Y,Y,2007,,2022-07-06,B553077,소상공인시장진흥공단
평해시장,상설장+5일장,경상북도 울진군 평해읍 평해6길 12,경상북도 울진군 평해읍 평해리 879-3,2일+7일,36.726945,129.442436,29,농산물+축산물+수산물,,,Y,Y,2007,,2022-07-06,B553077,소상공인시장진흥공단
후포시장,상설장+5일장,경상북도 울진군 후포면 울진대게로 21,경상북도 울진군 후포면 삼율리 126,3일+8일,36.677876,129.444227,124,농산물+축산물+수산물,,,Y,Y,2007,,2022-07-06,B553077,소상공인시장진흥공단
금성시장,5일장,경상북도 의성군 금성면 탑리길 56-1,경상북도 의성군 금성면 대리리 66-7,1일+6일,36.256177,128.681416,61,농산물+축산물+수산물+의류/신발+음식점업,,,Y,Y,1965,,2022-07-06,B553077,소상공인시장진흥공단
단촌정기시장,5일장,경상북도 의성군 단촌면 장터길 15,경상북도 의성군 단촌면 하화리 1097-9,5일+10일,36.422542,128.673901,61,축산물+수산물+의류/신발+가정용품+기타소매업,,,Y,Y,1965,,2022-07-06,B553077,소상공인시장진흥공단
봉양시장,5일장,경상북도 의성군 봉양면 도리원6길 9-1,경상북도 의성군 봉양면 화전리 99-5,4일+9일,36.299261,128.581592,44,농산물+의류/신발+가정용품+음식점업+기타소매업,,,Y,N,1965,054-833-1026,2022-07-06,B553077,소상공인시장진흥공단
안계공설시장,상설장+5일장,경상북도 의성군 안계면 안계시장길 14-11,경상북도 의성군 안계면 용기리 467-1,1일+6일,36.384424,128.438345,117,농산물+축산물+수산물+가공식품+음식점업,,,Y,Y,1965,,2022-07-06,B553077,소상공인시장진흥공단
의성공설재래시장,상설장+5일장,경상북도 의성군 의성읍 전통시장1길 12-8,경상북도 의성군 의성읍 도동리 758-4,2일+7일,36.345113,128.6998499,92,농산물+축산물+수산물+가정용품+기타소매업,,,Y,Y,1965,054-834-2553,2022-07-06,B553077,소상공인시장진흥공단
의성염매시장,상설장,경상북도 의성군 의성읍 염매시장길 5,경상북도 의성군 의성읍 후죽리 688-6,매일,36.350235,128.695609,37,농산물+축산물+가정용품+기타소매업,,,Y,Y,1980,,2022-07-06,B553077,소상공인시장진흥공단
동곡공설시장,5일장,경상북도 청도군 금천면 금천로 41-2,경상북도 청도군 금천면 동곡리 787-8,1일+6일,35.692062,128.891077,63,농산물+축산물+수산물+가공식품+음식점업,,,Y,Y,2007,,2022-07-06,B553077,소상공인시장진흥공단
이서공설시장,5일장,경상북도 청도군 이서면 학산1길 51,경상북도 청도군 이서면 학산리 580-2,3일+8일,35.662707,128.666433,17,농산물+가공식품+의류/신발+근린생활서비스업,,,Y,Y,1948,,2022-07-06,B553077,소상공인시장진흥공단
청도공설시장,5일장,경상북도 청도군 청도읍 청화로 175,경상북도 청도군 청도읍 고수리 785-3,4일+9일,35.642866,128.744445,189,농산물+축산물+수산물+의류/신발+기타소매업,,,Y,Y,2007,,2022-07-06,B553077,소상공인시장진흥공단
풍각공설시장,5일장,경상북도 청도군 풍각면 송서7길 10,경상북도 청도군 풍각면 송서리 569-10,1일+6일,35.640775,128.617693,67,농산물+축산물+수산물+가공식품+기타소매업,,,Y,Y,2012,054-373-5158,2022-07-06,B553077,소상공인시장진흥공단
도평시장,상설장+5일장,경상북도 청송군 현동면 도평2길 21,경상북도 청송군 현동면 도평리 839-103,5일+10일,36.290109,129.0170801,26,농산물+축산물+수산물,,,Y,Y,1921,,2022-07-06,B553077,소상공인시장진흥공단
부남시장,5일장,경상북도 청송군 부남면 대전로 142,경상북도 청송군 부남면 대전리 64-16,3일+8일,36.346506,129.064442,57,농산물+축산물+수산물,,,Y,Y,1921,,2022-07-06,B553077,소상공인시장진흥공단
진보시장,상설장+5일장,경상북도 청송군 진보면 진안남2길 9-1,경상북도 청송군 진보면 진안리 121-3,3일+8일,36.528337,129.046406,110,농산물+축산물+수산물,,,Y,Y,1910,054-872-5915,2022-07-06,B553077,소상공인시장진흥공단
