지표연도,시도,시군구,지표명,분모(명),분자(명),지표값(퍼센트)
2023,전국,전체,당뇨병의료이용률,51064994,4870159,9.54
2023,서울특별시,전체,당뇨병의료이용률,9427029,813683,8.63
2023,서울특별시,종로구,당뇨병의료이용률,143726,12855,8.94
2023,서울특별시,중구,당뇨병의료이용률,123894,11714,9.45
2023,서울특별시,용산구,당뇨병의료이용률,216960,17959,8.28
2023,서울특별시,성동구,당뇨병의료이용률,280822,23991,8.54
2023,서울특별시,광진구,당뇨병의료이용률,343954,27997,8.14
2023,서울특별시,동대문구,당뇨병의료이용률,341531,32756,9.59
2023,서울특별시,중랑구,당뇨병의료이용률,380612,40582,10.66
2023,서울특별시,성북구,당뇨병의료이용률,427777,39489,9.23
2023,서울특별시,강북구,당뇨병의료이용률,289926,33571,11.58
2023,서울특별시,도봉구,당뇨병의료이용률,305937,32951,10.77
2023,서울특별시,노원구,당뇨병의료이용률,493649,45634,9.24
2023,서울특별시,은평구,당뇨병의료이용률,458696,45364,9.89
2023,서울특별시,서대문구,당뇨병의료이용률,307642,27289,8.87
2023,서울특별시,마포구,당뇨병의료이용률,363418,27263,7.5
2023,서울특별시,양천구,당뇨병의료이용률,433188,36161,8.35
2023,서울특별시,강서구,당뇨병의료이용률,562354,50143,8.92
2023,서울특별시,구로구,당뇨병의료이용률,421247,39042,9.27
2023,서울특별시,금천구,당뇨병의료이용률,245194,24940,10.17
2023,서울특별시,영등포구,당뇨병의료이용률,398529,32545,8.17
2023,서울특별시,동작구,당뇨병의료이용률,380329,30327,7.97
2023,서울특별시,관악구,당뇨병의료이용률,493184,40404,8.19
2023,서울특별시,서초구,당뇨병의료이용률,397939,25315,6.36
2023,서울특별시,강남구,당뇨병의료이용률,520214,32427,6.23
2023,서울특별시,송파구,당뇨병의료이용률,644183,45653,7.09
2023,서울특별시,강동구,당뇨병의료이용률,452124,37311,8.25
2023,부산광역시,전체,당뇨병의료이용률,3259808,336380,10.32
2023,부산광역시,중구,당뇨병의료이용률,40121,5217,13
2023,부산광역시,서구,당뇨병의료이용률,103915,12556,12.08
2023,부산광역시,동구,당뇨병의료이용률,85399,10984,12.86
2023,부산광역시,영도구,당뇨병의료이용률,106907,15095,14.12
2023,부산광역시,부산진구,당뇨병의료이용률,347860,35858,10.31
2023,부산광역시,동래구,당뇨병의료이용률,265662,24224,9.12
2023,부산광역시,남구,당뇨병의료이용률,252287,26027,10.32
2023,부산광역시,북구,당뇨병의료이용률,272672,28142,10.32
2023,부산광역시,해운대구,당뇨병의료이용률,378854,35499,9.37
2023,부산광역시,사하구,당뇨병의료이용률,298038,34123,11.45
2023,부산광역시,금정구,당뇨병의료이용률,219011,22220,10.15
2023,부산광역시,강서구,당뇨병의료이용률,141504,10692,7.56
2023,부산광역시,연제구,당뇨병의료이용률,198742,19621,9.87
2023,부산광역시,수영구,당뇨병의료이용률,170890,16702,9.77
2023,부산광역시,사상구,당뇨병의료이용률,202192,23331,11.54
2023,부산광역시,기장군,당뇨병의료이용률,175754,16089,9.15
2023,대구광역시,전체,당뇨병의료이용률,2318105,222507,9.6
2023,대구광역시,중구,당뇨병의료이용률,78137,7309,9.35
2023,대구광역시,동구,당뇨병의료이용률,326758,34895,10.68
2023,대구광역시,서구,당뇨병의료이용률,157449,21176,13.45
2023,대구광역시,남구,당뇨병의료이용률,138776,16027,11.55
2023,대구광역시,북구,당뇨병의료이용률,423136,39574,9.35
2023,대구광역시,수성구,당뇨병의료이용률,399760,32392,8.1
2023,대구광역시,달서구,당뇨병의료이용률,531484,48687,9.16
2023,대구광역시,달성군,당뇨병의료이용률,262605,22447,8.55
2023,인천광역시,전체,당뇨병의료이용률,2964211,288201,9.72
2023,인천광역시,중구,당뇨병의료이용률,152582,14041,9.2
2023,인천광역시,동구,당뇨병의료이용률,58495,7838,13.4
2023,인천광역시,미추홀구,당뇨병의료이용률,406948,45314,11.14
2023,인천광역시,연수구,당뇨병의료이용률,391113,28467,7.28
2023,인천광역시,남동구,당뇨병의료이용률,504923,49561,9.82
2023,인천광역시,부평구,당뇨병의료이용률,493817,50204,10.17
