연번,가맹점명,업종명,전화번호,읍면동,소재지 도로명주소,위도,경도
1,#738,의류/잡화/안경,,보람동,[30150] 세종특별자치시 남세종로 469 408동1304호,36.46080986,127.2769668
2,#언니(샵언니),미용/뷰티/위생,044-864-8890,조치원읍,[30020] 세종특별자치시 조치원읍 문화길 29 4동2호,36.48130914,127.2899008
3,(A+)베이비맘케어,미용/뷰티/위생,042-863-3545,보람동,[30151] 세종특별자치시 시청대로 167 드림빌딩 207호,36.48130914,127.2899008
4,(BodyReading)바디리딩,기타,,나성동,[30128] 세종특별자치시 나성북1로 23 상가동(802동) 229호,36.4845959,127.2524947
5,(KS세종MTB)삼천리자전거 조치원점,자동차/자전거,044-865-9600,조치원읍,[30035] 세종특별자치시 조치원읍 새내2길 42 삼천리자전거,36.49671206,127.2691329
6,(S)풋볼아카데미 새롬점,학원/교육,,새롬동,[30127] 세종특별자치시 새롬중앙로 62-15 609호~611호,36.51320035,127.2582379
7,(SG스크린골프)도도,스포츠/헬스,044-864-0757,부강면,[30076] 세종특별자치시 부강면 부강로 47 2층,36.4930068,127.2557849
8,(SK)매직세종점(동양매직정수기),의류/잡화/안경,044-865-8825,조치원읍,[30076] 세종특별자치시 부강면 부강로 47 2층,36.51320035,127.2582379
9,(Soonity)수니티,의류/잡화/안경,044-868-4326,아름동,[30100] 세종특별자치시 보듬3로 143 1층 103호,36.49018366,127.2583119
10,(T)골프&AD,스포츠/헬스,,조치원읍,[30027] 세종특별자치시 조치원읍 새내8길 22-13 지하상가b1,36.52029821,127.2361855
11,(뉴)의류종합뉴스,의류/잡화/안경,044-867-7823,조치원읍,[30027] 세종특별자치시 조치원읍 장안길 7 1층,36.47672188,127.2883803
12,(이룸 공부방),학원/교육,,조치원읍,[30126] 세종특별자치시 새롬중앙1로 13 607동202호,36.49752425,127.205735
13,(주) 청암홈 청암빌딩,스포츠/헬스,,,"[00000] 세종특별자치시 한누리대로  492, 지하1층 101호 (어진동,청암빌딩)",36.4874398,127.2561952
14,(주)국사랑세종,일반음식점,044-863-9455,도담동,[30098] 세종특별자치시 보듬4로 9 카림에비뉴상가 41호,36.528132,127.265287
15,(주)그로서리스터프,일반음식점,044-862-2118,새롬동,[30126] 세종특별자치시 새롬중앙로 63 1층 110호,36.5159324,127.2584575
16,(주)농업회사법인 세종꽃맘,의류/잡화/안경,044-864-0500,연기면,[30057] 세종특별자치시 연기면 문암신촌길 33-15 (주)농업회사법인 세종꽃맘,36.61590363,127.2865581
17,(주)더팬테스틱 브래드카페 좋은아침페스츄리 세종보람점,일반음식점,044-862-4091,보람동,[30151] 세종특별자치시 시청대로 205 1층 좋은아침페스츄리,36.51971947,127.2358785
18,(주)두뇌로세계로,카페/베이커리,,부강면,[30073] 세종특별자치시 부강면 연청로 1161 1층 드림에그(DreamEgg) 카페,36.47993677,127.246781
19,(주)디엠 카페브릿지(기독교서점봄),일반음식점,044-715-7982,새롬동,[30127] 세종특별자치시 새롬중앙로 64 6층,36.48787516,127.2610014
20,(주)딩펫,기타,070-7864-4523,조치원읍,[30016] 세종특별자치시 조치원읍 세종로 2639 E동 604호,36.48653753,127.2502552
21,(주)로이나주얼리,귀금속,044-903-0930,나성동,"[30128] 세종특별자치시 나성북로 30 144호,145호 234호",36.55405966,127.2770614
22,(주)루바토스토리,미용/뷰티/위생,044-862-7239,다정동,[30124] 세종특별자치시 다정중앙로 39 209호,36.48371435,127.2498805
23,(주)만정에프엔비,일반음식점,,반곡동,"[30147] 세종특별자치시 국책연구원2로 18 103,104,105호",36.52029821,127.2361855
24,(주)메모리팩토리,일반음식점,044-868-9211,아름동,[30099] 세종특별자치시 바른7길 43 메모리팩토리,36.48906909,127.2602422
25,(주)명디자인플랜,도서/문화/공연,070-4095-9600,부강면,[30121] 세종특별자치시 갈매로 351 5130호,36.60066106,127.296657
26,(주)명성,주유소,044-863-3885,조치원읍,[30038] 세종특별자치시 조치원읍 세종로 2210 명품주유소,36.4845959,127.2524947
27,(주)몬테베베세종,학원/교육,044-715-7131,대평동,[30153] 세종특별자치시 한누리대로 2275 322호,36.5318866,127.2661896
28,(주)바렘,부동산/인테리어,044-864-0084,나성동,"[30128] 세종특별자치시 한누리대로 234 3층, 304호 (나성동, 르네상스)",36.48033429,127.298804
29,(주)바이미 아름셀프주유소,주유소,044-864-5184,아름동,[30099] 세종특별자치시 세종로 1328 (주)바이미 아름셀프주유소,36.51958087,127.2353439
30,(주)뱅크골프,스포츠/헬스,044-863-6969,어진동,[30121] 세종특별자치시 한누리대로 350 3층 뱅크스크린연습장,36.48607017,127.2576814
31,(주)베이콜로지에프엔비,의류/잡화/안경,044-999-3845,나성동,"[30128] 세종특별자치시 국세청로 32 C111, C112, C113, C121, C122, C123, C116, C117에이호",36.49796922,127.2437715
32,(주)봄비와씨앗,도서/문화/공연,,보람동,"[30150] 세종특별자치시 남세종로 454 강남제일타워 1층 101-1, 101-2호",36.46731036,127.2818941
33,(주)삼성모터스정비공장신안분점,자동차/자전거,,조치원읍,"[00000] 세종특별자치시 조치원읍 세종로  2652,(신안리)",36.53042414,127.258487
34,(주)서담,스포츠/헬스,044-862-0733,대평동,[30152] 세종특별자치시 대평4길 17 2층 204~208호,36.49809371,127.3121284
35,(주)서주유통,슈퍼/마트,,부강면,[00000] 세종특별자치시 부강면 부강로  37 (부강리),36.61047541,127.2936393
36,(주)성웅,일반음식점,044-865-9241,아름동,[30126] 세종특별자치시 새롬중앙로 33 116호,36.48992364,127.2570755
37,(주)성진,부동산/인테리어,,,"[00000] 세종특별자치시 한누리대로  245, 801호 (나성동,에스알파크원)",36.49717046,127.3098706
38,(주)세종가구단지,부동산/인테리어,044-864-6767,연서면,[30045] 세종특별자치시 연서면 효교로 285-32,36.48418589,127.2590163
39,(주)세종관광여행사,기타,044-866-5353,조치원읍,[30027] 세종특별자치시 조치원읍 새내로 80 1층,36.47967318,127.2860768
40,(주)세종드론교육원,학원/교육,044-868-6558,나성동,[30127] 세종특별자치시 한누리대로 223 리베라아이누리 203호,36.48453394,127.2512342
41,(주)세종스테이블,레저,044-867-2137,장군면,[30052] 세종특별자치시 장군면 평기큰골길 46-65 (주)세종스테이블,36.47730528,127.2864667
42,(주)세종알티오라,학원/교육,044-862-0549,어진동,"[30121] 세종특별자치시 갈매로 353 3001~3005호(어진동, 에비뉴힐A동)",36.48043906,127.2608375
43,(주)세종에이엠씨,슈퍼/마트,044-867-5050,대평동,[30153] 세종특별자치시 한누리대로 2275 105호 CU편의점,36.44004177,127.2883577
44,(주)세종전자담배,슈퍼/마트,,새롬동,[30127] 세종특별자치시 새롬중앙로 34 제 108 비호 세종전자담배,36.51230463,127.2418795
45,(주)세종투어,기타,044-868-5155,조치원읍,[30031] 세종특별자치시 조치원읍 대첩로 75 1층 111호,36.49529564,127.2485413
46,(주)신용,일반음식점,044-863-3939,조치원읍,[30036] 세종특별자치시 조치원읍 허만석로 60 1층 롯데리아,36.4922103,127.3061643
47,(주)씨앤조이,기타,044-862-5724,금남면,[30079] 세종특별자치시 금남면 호탄길 48-8 (주)씨앤조이,36.48501826,127.3014739
48,(주)아이엠에듀,학원/교육,044-864-0008,도담동,[30098] 세종특별자치시 보듬4로 9 416호,36.50150524,127.2414377
49,(주)에듀풀컴퍼니,기타,044-715-7355,보람동,[30150] 세종특별자치시 한누리대로 2165 A동206호,36.48501826,127.3014739
50,(주)엔에스아트,도서/문화/공연,044-868-4879,나성동,"[30128] 세종특별자치시 나성북1로 22 7층8층(나성동,디펠리체)",36.49788079,127.2483266
51,(주)엘케이피,부동산/인테리어,,어진동,[30121] 세종특별자치시 갈매로 353 A동 5014호,36.49103907,127.2581922
52,(주)엠엘씨 세종아카데미,가전/통신,044-863-7766,아름동,[30100] 세종특별자치시 보듬3로 158 701호,36.49283684,127.2574384
53,(주)엠원업 8층 스낵,일반음식점,070-8808-0653,금남면,[30083] 세종특별자치시 금남면 용포로 115 8층 일부호 (엠원업빌딩),36.48918314,127.2553861
54,(주)엠원업 카페테리아,일반음식점,070-8808-4474,금남면,[30083] 세종특별자치시 금남면 용포로 115 9층 901호 (엠원업빌딩),36.50413843,127.2517045
55,(주)엠원업스파앤스포츠,부동산/인테리어,,금남면,"[00000] 세종특별자치시 금남면 용포로  115, 7층 (용포리)",36.47787938,127.2492336
56,(주)연기자동차공업사,자동차/자전거,044-862-5151,조치원읍,[30036] 세종특별자치시 조치원읍 허만석로 40 (주)연기자동차공업사,36.52978507,127.3667451
57,(주)연세국제학원,학원/교육,044-866-9705,아름동,"[30100] 세종특별자치시 보듬3로 100 502-1, 503-2, 505-1, 2호",36.48979178,127.2561616
58,(주)영평식품,일반음식점,0444-858-3135,장군면,[30054] 세종특별자치시 장군면 영평사길 93,36.60437114,127.2915935
59,(주)오감통통숲앤아이,학원/교육,,소담동,[30150] 세종특별자치시 한누리대로 2007 403(퍼스트시티),36.513402,127.2587831
60,(주)오피스톡,의류/잡화/안경,,,"[00000] 세종특별자치시 도움6로  11, 6동 2층 (어진동,정부세종청사)",36.49518298,127.2492567
61,(주)올담식품,의류/잡화/안경,044-272-0978,금남면,[30084] 세종특별자치시 금남면 성덕영곡길 166 1층,36.51933277,127.2345983
62,(주)와이에이치교육,미용/뷰티/위생,044-868-6200,나성동,[30127] 세종특별자치시 한누리대로 253 7층 701호,36.49108773,127.2587721
63,(주)와이투하다,학원/교육,044-998-3060,나성동,[30130] 세종특별자치시 한누리대로 169 201~205호,36.53233782,127.2648229
64,(주)유오티,일반음식점,044-863-0575,전의면,[30004] 세종특별자치시 전의면 운주산로 1050 1,36.49128962,127.2608127
65,(주)인사이터즈,카페/베이커리,,해밀동,[30092] 세종특별자치시 해밀3로 43 스카이드림 104-107호,36.50393514,127.2437471
66,(주)점핑몬스터세종신도시점,레저,044-868-2030,고운동,[30062] 세종특별자치시 마음로 272-17 세종ns타워3차 5층,36.47089688,127.2509858
67,(주)제이원앤소리소문,부동산/인테리어,044-866-0933,부강면,[30071] 세종특별자치시 부강면 부강행산로 146 2층 소리소문,36.61535092,127.2860602
68,(주)제이케이솔루션,슈퍼/마트,070-4211-0702,나성동,[30128] 세종특별자치시 한누리대로 312 노블비즈니스타운 608호,36.55463485,127.369045
69,(주)중부수산시장,슈퍼/마트,,,"[00000] 세종특별자치시 도움1로  106, B동 101호 (종촌동,메가시티)",36.4773649,127.2889101
70,(주)지앤엘코리아,슈퍼/마트,044-866-0759,어진동,"[30120] 세종특별자치시 다솜로 185 102호 (어진동, 다솜빌딩)",36.48687059,127.3038457
71,(주)지존,학원/교육,044-865-0595,보람동,[30150] 세종특별자치시 한누리대로 2165 A동421호,36.60096974,127.3016504
72,(주)클라우드쇼룸,의류/잡화/안경,,새롬동,[30126] 세종특별자치시 새롬중앙로 41 111호,36.48841045,127.248563
73,(주)하나기획,가전/통신,044-866-4766,어진동,"[30121] 세종특별자치시 갈매로 353 에비뉴힐 a동 1032,1033호",36.51536936,127.2505471
74,(주)해밀리 장재리100번지,일반음식점,044-862-2180,금남면,[30079] 세종특별자치시 금남면 금남구즉로 356 갈비집,36.50493482,127.2422192
75,(주)해피엠,일반음식점,044-864-7222,장군면,[30055] 세종특별자치시 장군면 월현윗길 38-9 봉안리 216-5,36.48906909,127.2602422
76,(주)화영교육,도서/문화/공연,044-865-3734,고운동,[30101] 세종특별자치시 세종로 1229 스타플레이스 B동 5층 생각하는 황소,36.52909466,127.2650211
77,(합)나우렌트카,자동차/자전거,044-864-1300,조치원읍,[30018] 세종특별자치시 조치원읍 충현로 230,36.58891621,127.26488
78,(합)대림전기,부동산/인테리어,044-866-9988,금남면,[30083] 세종특별자치시 금남면 용포로 77 세종시 금남면 용포로 77,36.48207719,127.2604983
79,0.1프로헤어,미용/뷰티/위생,,,"[00000] 세종특별자치시 나성북로  9, 3층 301호 (나성동,메가타워1)",36.47795332,127.2893511
80,1002카랜드,자동차/자전거,044-866-4374,조치원읍,[00000] 세종특별자치시 조치원읍 조치원4길 98 (남리),36.50830575,127.2624486
81,1004마트(부강점),슈퍼/마트,,부강면,"[00000] 세종특별자치시 부강면 부강로  37, 1004마트 (부강리)",36.59962067,127.3005784
82,108커피,카페/베이커리,044-864-3393,조치원읍,[30024] 세종특별자치시 조치원읍 새내로 108 108커피 1층,36.48456545,127.3010985
