설치장소명,시도명,시군구명,소재지도로명주소,소재지지번주소,위도,경도,세부위치,관리기관명,관리기관전화번호,데이터기준일자,제공기관코드,제공기관명
관내 우체통,서울특별시,관악구,서울특별시 관악구 조원로 118,,37.48501945,126.9155289,,서울특별시 관악구청,,2024-07-13,3200000,서울특별시 관악구
망우3동주민센터,서울특별시,중랑구,서울특별시 중랑구 겸재로61길 40,서울특별시 중랑구 망우동 529-2,37.59189513,127.0949177,망우3동주민센터,서울특별시 중랑구청,02-2094-1957,2024-11-25,3060000,서울특별시 중랑구
해운대구 보건소,부산광역시,해운대구,부산광역시 해운대구 양운로37번길 59,부산광역시 해운대구 좌동 1339,35.16402466,129.1790265,보건소 3층(실내),해운대구 보건소,051-749-7567,2024-08-08,3330000,부산광역시 해운대구
국민건강보험공단 해운대지사,부산광역시,해운대구,부산광역시 해운대구 해운대로349번길 13,부산광역시 해운대구 우동 1112-3,35.17238105,129.1356593,국민건강보험공단 해운대지사 2층(실내),국민건강보험공단 해,1577-1000,2024-08-08,3330000,부산광역시 해운대구
광천보건지소,충청남도,홍성군,충청남도 홍성군 광천읍 광천로 343,충청남도 홍성군 광천읍 신진리 461,36.5042065292,126.6245842157,,충청남도 홍성군,041-630-9924,2024-07-31,4600000,충청남도 홍성군
금마보건지소,충청남도,홍성군,충청남도 홍성군 금마면 광금북로482번길 18,충청남도 홍성군 금마면 부평리 101-1,36.6126255030,126.7337030961,,충청남도 홍성군,041-630-9224,2024-07-31,4600000,충청남도 홍성군
가흥보건진료소,충청북도,충주시,충청북도 충주시 중앙탑면 창말고개길 2,충청북도 충주시 가흥리 274-24,37.07469093,127.8601332,보건진료소 내,충주시청 보건소,043-850-3423,2024-07-31,4390000,충청북도 충주시
동락보건진료소,충청북도,충주시,충청북도 충주시 신니면 동락길 49,충청북도 충주시 문락리 167,37.00588778,127.6851618,보건진료소 내,충주시청 보건소,043-850-3423,2024-07-31,4390000,충청북도 충주시
대사보건진료소,충청북도,충주시,충청북도 충주시 수안보면 사문한절2길 6,충청북도 충주시 사문리 321-10,36.84009505,128.0223926,보건진료소 내,충주시청 보건소,043-850-3423,2024-07-31,4390000,충청북도 충주시
가까운약국,충청북도,충주시,"충청북도 충주시 중앙로 67, 신천지타운 102호 (충의동)",충청북도 충주시 충의동 360번지 신천지타운,36.97311935,127.9308629,약국,충주시청 보건소,043-850-3423,2024-07-31,4390000,충청북도 충주시
